external_id,name,description,category,difficulty,muscle_groups,source_section,source
routine-hombros-frontal-con-barra-agarre-supino,frontal con barra agarre supino,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=frontal%20con%20barra%20agarre%20supino%20ejercicio%20gym
routine-triceps-fondos-paralela,fondos paralela,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=fondos%20paralela%20ejercicio%20gym
routine-piernas-estocadas-atras,estocadas atras,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=estocadas%20atras%20ejercicio%20gym
routine-hombros-frontales-con-barra-agarre-prono,frontales con barra agarre prono,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=frontales%20con%20barra%20agarre%20prono%20ejercicio%20gym
routine-triceps-fondos-blancos,fondos blancos,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=fondos%20blancos%20ejercicio%20gym
routine-piernas-estocadas-cruzadas,estocadas cruzadas,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=estocadas%20cruzadas%20ejercicio%20gym
routine-hombros-frontales-con-disco,frontales con disco,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=frontales%20con%20disco%20ejercicio%20gym
routine-triceps-press-cerrado-con-barra,press cerrado con barra,Ejercicio de empuje enfocado en triceps. Ayuda a ganar fuerza y estabilidad en el tren superior.,strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=press%20cerrado%20con%20barra%20ejercicio%20gym
routine-piernas-camilla-de-isquiotibiales-3-pesitas,camilla de isquiotibiales 3 pesitas,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=camilla%20de%20isquiotibiales%203%20pesitas%20ejercicio%20gym
routine-hombros-laterales-con-mancuerna-18kg,laterales con mancuerna ,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=laterales%20con%20mancuerna%20%20ejercicio%20gym
routine-triceps-triceps-en-polea-con-banco-inclinado,triceps en polea con banco inclinado,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=triceps%20en%20polea%20con%20banco%20inclinado%20ejercicio%20gym
routine-piernas-hack-para-isquio,hack para isquio,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=hack%20para%20isquio%20ejercicio%20gym
routine-hombros-laterales-con-polea,laterales con polea,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=laterales%20con%20polea%20ejercicio%20gym
routine-triceps-tripecs-en-polea-con-barra-35kg,tripecs en polea con barra ,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=tripecs%20en%20polea%20con%20barra%20%20ejercicio%20gym
routine-piernas-peso-muerto-unilateral,peso muerto unilateral,"Ejercicio compuesto de fuerza que trabaja piernas y la cadena posterior, ideal para ganar potencia y estabilidad.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=peso%20muerto%20unilateral%20ejercicio%20gym
routine-hombros-posterior-parado,posterior parado,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=posterior%20parado%20ejercicio%20gym
routine-triceps-triceps-en-polea-con-soga,triceps en polea con soga,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=triceps%20en%20polea%20con%20soga%20ejercicio%20gym
routine-piernas-buenos-dias,buenos dias,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=buenos%20dias%20ejercicio%20gym
routine-hombros-posterior-en-banco,posterior en banco,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=posterior%20en%20banco%20ejercicio%20gym
routine-triceps-extencion-de-triceps-1-brazo,extencion de triceps 1 brazo,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=extencion%20de%20triceps%201%20brazo%20ejercicio%20gym
routine-piernas-patadas-de-gluteos-maquina,patadas de gluteos maquina,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=patadas%20de%20gluteos%20maquina%20ejercicio%20gym
routine-hombros-face-pull-45kg,face pull ,"Ejercicio compuesto enfocado en trabajar hombros. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=face%20pull%20%20ejercicio%20gym
routine-triceps-patada-de-burro,patada de burro,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=patada%20de%20burro%20ejercicio%20gym
routine-piernas-patada-de-gluteo-palea,patada de gluteo palea,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=patada%20de%20gluteo%20palea%20ejercicio%20gym
routine-hombros-remo-al-menton-16kg,remo al menton ,"Ejercicio de tracción para fortalecer hombros, mejorando postura y resistencia muscular.",strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=remo%20al%20menton%20%20ejercicio%20gym
routine-triceps-extension-de-triceps-con-disco,extension de triceps con disco,"Ejercicio compuesto enfocado en trabajar triceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,triceps,Triceps,https://www.google.com/search?tbm=isch&q=extension%20de%20triceps%20con%20disco%20ejercicio%20gym
routine-piernas-barra-hexagonal,barra hexagonal,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=barra%20hexagonal%20ejercicio%20gym
routine-hombros-press-militar-unilateral,press militar unilateral,Ejercicio de empuje enfocado en hombros. Ayuda a ganar fuerza y estabilidad en el tren superior.,strength,beginner,hombros,Hombros,https://www.google.com/search?tbm=isch&q=press%20militar%20unilateral%20ejercicio%20gym
routine-piernas-sentadilla-glutea,sentadilla glutea,"Ejercicio fundamental para desarrollar piernas, mejorando fuerza, equilibrio y potencia.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadilla%20glutea%20ejercicio%20gym
routine-piernas-laterales-en-palea,laterales en palea,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=laterales%20en%20palea%20ejercicio%20gym
